,Process rate,Weather,Construction Cost,Construction Category,Fatality,Injuries
481,4,0,25000,1,0,1
482,5,0,25000,14,0,1
483,5,0,12500,3,0,1
484,4,1,7500,9,0,1
485,0,1,150000,1,0,1
486,3,0,25000,19,0,1
487,8,0,15,22,0,1
488,2,0,17500,9,0,1
489,9,0,400,0,1,0
490,5,1,150000,2,0,1
491,6,0,75000,3,0,1
492,1,0,3500,1,0,1
493,9,0,150000,24,0,1
494,3,0,7500,5,0,1
495,4,0,5,0,0,1
496,7,1,3500,18,0,1
497,3,0,3500,3,0,1
498,2,0,12500,1,0,1
499,9,0,70,0,0,1
500,3,1,17500,0,0,1
501,5,0,40000,0,0,1
502,7,0,15,0,0,1
503,4,0,150000,5,0,1
504,5,0,12500,0,0,1
505,7,1,25000,0,0,1
506,6,2,75000,0,0,1
507,9,2,150000,0,0,1
508,0,3,150000,0,0,1
509,9,0,150000,0,0,1
510,0,0,7500,15,0,1
511,4,0,17500,0,0,1
512,9,1,250,7,0,1
513,4,0,7500,0,0,1
514,4,0,40000,5,0,1
515,1,0,150000,3,0,1
516,3,0,1500,9,0,1
517,4,0,25000,0,0,1
518,5,0,12500,3,0,1
519,9,1,25000,7,0,1
520,6,0,1500,3,0,1
521,9,0,1500,3,0,1
522,2,0,40000,3,0,1
523,8,0,1500,18,0,1
524,8,1,25000,0,0,1
525,0,1,7500,0,0,1
526,5,0,12500,7,0,1
527,4,0,7500,3,0,1
528,4,1,150,3,0,1
529,7,1,12500,9,0,1
530,7,0,150,0,0,1
531,7,0,3500,0,0,1
532,9,0,12500,11,0,1
533,2,1,7500,3,0,1
534,8,0,75000,0,0,1
535,8,2,12500,2,0,1
536,2,0,12500,9,0,1
537,3,0,17500,0,0,1
538,8,1,3500,0,0,1
539,5,0,150000,13,0,1
540,5,1,750,0,0,1
541,9,0,150000,23,0,1
542,9,0,150000,2,0,1
543,9,0,150000,2,0,1
544,9,0,12500,12,0,1
545,2,0,150000,3,0,1
546,2,1,7500,24,0,1
547,5,1,7500,21,0,1
548,5,1,150000,10,0,1
549,1,0,3500,7,0,1
550,3,0,1500,0,0,1
551,7,0,3500,25,0,1
552,4,0,75000,13,0,1
553,9,0,30,0,1,0
554,7,1,25000,2,0,1
555,7,0,15,13,0,1
556,9,1,3500,2,0,1
557,1,0,150000,3,0,1
558,2,2,150000,22,0,1
559,2,0,150000,3,0,1
560,6,0,3500,0,0,1
561,8,0,3500,0,0,1
562,9,2,25000,13,0,1
563,5,1,250,0,0,1
564,0,0,75000,7,0,1
565,9,1,150000,17,0,1
566,1,1,5,1,0,1
567,9,0,17500,0,0,1
568,6,0,12500,0,0,1
569,3,0,150000,22,0,1
570,9,0,3500,4,0,1
571,2,0,150000,3,0,1
572,9,0,3500,1,0,1
573,1,0,7500,0,0,1
574,9,0,12500,2,0,1
575,1,0,75000,0,0,1
576,2,0,75000,3,0,1
577,8,1,75000,24,0,1
578,9,0,750,1,0,1
579,7,0,40000,18,0,1
580,9,0,150000,3,0,1
581,9,0,1500,1,0,1
582,9,1,3500,18,0,1
583,6,1,75000,1,0,1
584,1,0,7500,4,0,1
585,1,0,25000,3,0,1
586,2,0,12500,0,0,1
587,2,0,7500,0,0,1
588,3,0,12500,1,0,1
589,4,0,40000,3,1,0
590,5,0,3500,3,0,1
591,0,1,40000,1,0,1
592,5,0,25000,0,0,1
593,5,0,150000,0,0,1
594,3,0,400,0,0,1
595,9,0,75000,7,3,1
596,6,0,150000,5,0,1
597,9,0,250,20,0,1
598,5,0,3500,0,1,0
599,5,0,1500,6,0,1
600,0,0,150000,3,0,1
601,4,0,75000,0,0,1
602,5,0,17500,3,0,1
603,7,1,70,20,0,1
604,4,1,3500,6,0,1
605,8,0,1500,16,0,1
606,8,0,150000,23,0,1
607,1,1,150000,3,0,1
608,1,1,150000,7,0,1
609,2,0,150000,0,0,1
610,7,1,1500,17,0,1
611,5,2,17500,3,0,1
612,3,0,7500,3,0,1
613,4,0,150000,0,0,1
614,1,0,3500,3,0,1
615,6,1,40000,3,1,0
616,4,0,750,6,0,1
617,5,2,7500,3,1,0
618,9,0,750,0,0,1
619,1,0,7500,1,0,1
620,9,1,12500,0,0,1
621,2,0,750,1,0,1
622,4,1,12500,3,0,1
623,5,1,25000,19,0,1
624,9,0,75000,17,0,1
625,8,0,1500,24,0,1
626,0,0,150000,19,0,1
627,3,0,3500,3,0,1
628,7,0,75000,18,0,1
629,0,0,25000,7,0,1
630,4,0,7500,4,0,1
631,4,0,75000,3,0,1
632,5,1,40000,0,0,1
633,7,1,40000,17,0,1
634,1,0,7500,3,0,1
635,4,1,3500,1,0,1
636,5,0,12500,3,0,1
637,8,1,75000,24,0,1
638,9,2,75000,3,0,1
639,5,0,7500,0,0,1
640,4,0,7500,3,0,1
641,8,0,75000,1,0,2
642,5,1,150000,2,0,1
643,8,0,150000,24,0,1
644,5,1,400,0,0,1
645,9,1,400,12,0,1
646,7,0,7500,7,0,1
647,0,0,150000,22,1,0
648,9,0,750,0,0,1
649,2,0,75000,3,0,1
650,0,0,150000,3,0,1
651,3,0,7500,9,0,1
652,1,0,75000,0,0,1
653,0,0,7500,1,0,1
654,3,0,40000,3,0,1
655,7,0,150000,1,0,1
656,0,0,150000,3,0,1
657,6,0,75000,10,0,1
658,8,0,12500,3,0,1
659,1,0,150000,3,0,1
660,8,0,750,3,0,1
661,2,0,75000,3,0,1
662,6,0,150000,22,0,1
663,1,0,150000,22,0,1
664,5,0,750,18,0,1
665,4,1,3500,0,0,1
666,2,0,7500,9,1,0
667,3,1,25000,13,0,1
668,9,0,17500,3,0,1
669,4,0,150000,0,0,1
670,6,1,40000,0,0,1
671,7,0,150000,3,0,1
672,2,0,75000,1,0,1
